Well_ID,BHCT_F,Depth_ft,Retarder_pct_BWOC,Slurry_Density_ppg,Thickening_Time_min
WELL_0047,160.6,8875,0.283,17.1,260.2
WELL_0048,158.7,7883,0.172,16.17,277.2
WELL_0049,210.3,11825,1.424,17.5,441.7
WELL_0050,159.1,6398,0.472,15.93,348.2
WELL_0051,161.1,6999,0.806,15.78,385.5
WELL_0052,134.9,5074,0.227,15.53,359.0
WELL_0053,253.5,12869,0.693,17.48,219.9
WELL_0054,232.5,11649,1.402,16.65,431.1
WELL_0055,237.4,12052,0.803,16.02,271.0
WELL_0056,248.9,12807,1.46,16.89,442.4
WELL_0057,210.7,9589,0.462,16.58,267.9
WELL_0058,176.0,10687,0.806,17.28,351.1
WELL_0059,151.6,6398,1.303,15.35,566.8
WELL_0060,115.6,6145,0.728,16.05,457.9
WELL_0061,227.5,11684,0.491,15.95,234.9
WELL_0062,201.2,9711,1.298,15.11,467.4
WELL_0063,232.3,10652,0.646,16.78,264.8
WELL_0064,260.8,12650,0.843,16.05,259.6
WELL_0065,226.2,11347,1.467,16.61,489.4
WELL_0066,203.0,10536,0.361,17.5,231.9
WELL_0067,221.4,10592,0.522,16.01,260.9
WELL_0068,170.0,8040,0.143,15.97,278.2
WELL_0069,144.0,5308,0.649,16.27,415.5
WELL_0070,214.5,9367,0.38,16.74,232.8
WELL_0071,157.9,7146,1.052,15.89,449.1
WELL_0072,207.6,9085,0.354,15.85,276.0
WELL_0073,263.1,13534,1.045,16.78,326.2
WELL_0074,153.2,7339,0.469,16.41,327.9
WELL_0075,165.1,5583,0.597,15.08,368.5
WELL_0076,189.2,7814,0.588,15.53,327.7
WELL_0077,180.0,7936,1.103,17.03,426.6
WELL_0078,212.3,11619,0.753,16.42,280.8
WELL_0079,196.9,10570,0.606,15.78,278.2
WELL_0080,232.2,12839,1.294,16.11,402.2
WELL_0081,236.1,11643,0.901,16.21,298.5
WELL_0082,175.6,9064,0.399,16.6,274.0
WELL_0083,253.7,13140,1.36,15.45,438.1
WELL_0084,139.4,6670,0.58,15.74,379.1
WELL_0085,139.3,5227,0.155,16.35,315.0
WELL_0086,153.7,5900,0.792,16.15,378.7
WELL_0087,277.9,12224,0.274,16.51,114.3
WELL_0088,175.3,9619,0.434,15.52,318.1
WELL_0089,187.5,6613,1.146,16.4,447.6
WELL_0090,207.8,10010,0.283,16.8,205.2
WELL_0091,167.2,6523,1.23,16.47,478.7
WELL_0092,232.7,11963,1.412,16.28,490.0
WELL_0093,206.0,9462,0.949,16.15,366.5
WELL_0094,186.8,8810,1.095,15.74,416.6
WELL_0095,205.4,8015,1.099,16.16,404.2
WELL_0096,213.7,11303,1.49,16.89,482.7
WELL_0097,207.4,8618,0.578,16.13,285.5
WELL_0098,139.8,5876,0.328,15.71,343.2
WELL_0099,154.3,6180,0.827,15.93,383.6
WELL_0100,245.8,14619,0.847,16.31,264.7
WELL_0101,266.3,14086,0.349,15.99,152.7
WELL_0102,257.0,11997,0.958,16.47,299.7
WELL_0103,173.2,7659,0.12,16.49,240.7
WELL_0104,262.4,14692,1.399,16.69,402.5
WELL_0105,221.2,12788,0.47,16.98,225.4
WELL_0106,229.1,12169,0.155,16.75,178.6
WELL_0107,169.7,9494,0.252,15.69,280.8
WELL_0108,159.0,7722,0.436,15.7,338.4
WELL_0109,156.6,5964,0.483,16.16,330.3
WELL_0110,281.1,14026,0.146,15.95,107.7
WELL_0111,249.8,9558,0.491,15.57,232.1
WELL_0112,155.7,7024,0.37,15.96,338.0
WELL_0113,205.6,8060,0.63,15.94,318.5
WELL_0114,219.7,10792,0.639,15.83,295.1
WELL_0115,160.3,6768,0.575,16.03,349.6
WELL_0116,259.1,13566,0.559,16.85,200.4
WELL_0117,239.7,12585,0.226,16.31,185.4
WELL_0118,235.5,12195,0.135,17.5,126.5
WELL_0119,188.8,9321,0.383,16.29,258.9
WELL_0120,196.4,11273,1.159,16.04,426.4
WELL_0121,188.1,10841,1.487,16.2,522.0
WELL_0122,236.2,11498,1.4,16.34,429.5
WELL_0123,146.0,5844,0.806,16.44,406.1
WELL_0124,183.3,9158,0.845,17.34,348.1
WELL_0125,145.6,5416,0.54,15.74,331.8
WELL_0126,218.5,9940,1.184,16.67,397.6
WELL_0127,186.1,8299,1.171,16.31,437.6
WELL_0128,147.0,6445,1.282,15.34,522.8
WELL_0129,175.5,6034,1.354,16.62,523.4
WELL_0130,244.8,10876,0.708,16.9,231.1
WELL_0131,171.1,6706,1.174,15.73,455.0
WELL_0132,277.8,14251,1.229,16.2,304.8
WELL_0133,237.9,10811,0.532,15.25,241.1
WELL_0134,205.4,8469,1.401,15.51,487.1
WELL_0135,227.9,10909,0.232,16.78,171.5
WELL_0136,153.7,5228,1.492,15.94,585.9
WELL_0137,274.0,14586,1.178,15.59,365.4
WELL_0138,182.9,9823,0.231,16.33,251.9
WELL_0139,254.4,12827,1.019,15.91,320.4
WELL_0140,126.4,5827,0.148,15.94,351.4
WELL_0141,189.0,9867,1.178,16.61,429.8
WELL_0142,227.3,9907,1.219,15.56,405.6
WELL_0143,277.0,14378,0.943,15.7,251.9
WELL_0144,241.1,10717,1.3,16.28,407.2
WELL_0145,196.7,9735,0.237,16.73,240.7
WELL_0146,154.0,7670,0.486,16.88,368.1
WELL_0147,178.8,8316,0.68,15.83,348.9
WELL_0148,209.5,10207,0.159,16.72,182.4
WELL_0149,198.5,9389,0.728,15.77,311.3
WELL_0150,163.2,5216,0.471,17.2,325.3
WELL_0151,240.9,13263,0.65,15.58,226.8
WELL_0152,262.8,13962,0.695,16.93,229.4
WELL_0153,140.4,6402,1.331,15.84,550.3
WELL_0154,220.1,10540,0.478,17.31,236.6
WELL_0155,154.2,6086,1.351,16.53,514.0
WELL_0156,213.9,11722,0.696,15.64,313.6
WELL_0157,172.3,7812,0.559,15.91,335.8
WELL_0158,222.4,11594,0.804,16.63,287.8
WELL_0159,229.6,12270,0.685,16.78,296.3
WELL_0160,271.8,12686,0.46,16.16,166.6
WELL_0161,152.2,6077,0.804,16.22,416.8
WELL_0162,254.7,14160,0.313,16.62,109.5
WELL_0163,132.2,7302,0.593,16.27,405.5
WELL_0164,128.8,5374,0.892,15.49,486.2
WELL_0165,207.4,10549,0.679,15.75,309.6
WELL_0166,175.9,8709,1.253,16.33,479.1
WELL_0167,272.7,13298,0.459,16.87,168.5
WELL_0168,242.1,13083,1.458,17.09,427.5
WELL_0169,204.4,8171,1.199,16.63,434.9
WELL_0170,265.0,14529,1.455,16.36,411.2
WELL_0171,178.5,7909,1.273,16.61,458.5
WELL_0172,205.4,10151,0.299,15.83,259.6
WELL_0173,173.3,7560,0.837,16.12,401.1
WELL_0174,292.6,14360,0.338,15.75,109.7
WELL_0175,119.6,6646,1.246,15.51,526.1
WELL_0176,109.8,5449,0.918,16.38,458.9
WELL_0177,186.8,9351,0.469,16.3,301.0
WELL_0178,269.3,14924,1.401,16.58,383.5
WELL_0179,268.3,13917,0.261,16.5,134.3
WELL_0180,245.8,12486,0.889,16.33,311.6
WELL_0181,248.9,13908,1.109,16.51,341.8
WELL_0182,274.5,13934,0.182,16.18,128.0
WELL_0183,226.0,10189,0.937,16.43,330.7
WELL_0184,184.4,8159,1.242,15.8,464.5
WELL_0185,257.7,12720,0.195,16.4,117.1
WELL_0186,230.9,11617,0.817,16.57,314.7
WELL_0187,178.5,8737,0.462,15.83,292.4
WELL_0188,164.8,5945,1.028,16.23,443.1
WELL_0189,239.1,12468,0.266,15.86,180.7
WELL_0190,174.1,7625,1.412,15.91,501.9
WELL_0191,288.3,14368,1.353,15.58,376.6
WELL_0192,127.2,7410,0.36,16.9,366.1
WELL_0193,130.4,6228,0.553,16.79,376.4
WELL_0194,226.7,13311,0.923,16.5,303.4
WELL_0195,153.4,6533,1.105,17.28,452.5
WELL_0196,158.7,6793,0.72,16.1,376.4
WELL_0197,190.8,10994,0.319,17.5,294.6
WELL_0198,236.0,13746,0.246,16.07,180.2
WELL_0199,150.0,6964,1.5,16.34,552.7
WELL_0200,224.6,8103,0.737,15.98,331.1
WELL_0201,273.5,12774,1.322,16.4,350.3
WELL_0202,258.9,14718,0.775,16.66,246.4
WELL_0203,198.6,10007,1.391,16.14,518.9
WELL_0204,138.0,6439,0.223,17.18,303.6
WELL_0205,107.5,5139,0.26,16.33,337.4
WELL_0206,167.8,7297,1.401,16.35,510.6
WELL_0207,139.2,6318,1.426,15.7,588.7
WELL_0208,226.6,11777,0.541,16.43,250.3
WELL_0209,127.0,6218,0.597,16.13,379.9
WELL_0210,192.1,10063,0.733,15.87,325.2
WELL_0211,232.9,11943,0.683,15.77,265.7
WELL_0212,222.1,10811,0.366,17.5,207.5
WELL_0213,173.5,6998,1.358,16.06,531.1
WELL_0214,220.8,13041,0.455,15.4,265.3
WELL_0215,248.4,12154,1.087,15.82,362.6
WELL_0216,221.7,12390,0.194,16.17,163.7
WELL_0217,168.4,6311,0.154,16.5,242.3
WELL_0218,155.9,6238,1.015,16.51,447.5
WELL_0219,235.8,14276,0.575,16.57,205.4
WELL_0220,186.0,8976,1.018,15.85,405.7
WELL_0221,185.7,8009,0.232,16.39,257.0
WELL_0222,214.5,9886,1.43,15.72,466.1
WELL_0223,223.6,11629,1.148,15.86,377.0
WELL_0224,291.8,14556,1.327,15.7,372.6
WELL_0225,195.4,7864,0.291,15.55,271.5
WELL_0226,255.6,14248,0.548,16.79,216.0
WELL_0227,156.7,5249,0.616,16.58,369.6
WELL_0228,247.0,10552,0.852,16.74,288.7
WELL_0229,257.7,11340,0.516,16.22,191.7
WELL_0230,131.7,6059,0.185,16.63,299.6
WELL_0231,141.6,6403,0.616,15.23,385.6
WELL_0232,221.2,9191,0.456,16.67,244.6
WELL_0233,246.6,14662,0.64,16.3,240.2
WELL_0234,193.7,10960,0.376,16.54,216.0
WELL_0235,252.5,14330,0.467,16.41,175.1
WELL_0236,252.1,13044,0.978,15.66,344.1
WELL_0237,198.9,9674,0.643,15.38,321.8
WELL_0238,230.3,12848,0.584,15.81,229.0
WELL_0239,130.2,5178,0.847,16.51,476.2
WELL_0240,141.4,6091,1.181,16.58,488.0
WELL_0241,232.0,13294,0.63,15.45,273.7
WELL_0242,284.7,12968,0.923,15.66,281.4
WELL_0243,175.6,7326,1.453,15.8,526.3
WELL_0244,225.0,10308,0.831,16.0,305.9
WELL_0245,210.0,11060,1.374,15.45,514.1
WELL_0246,249.5,13677,1.211,15.42,406.1
WELL_0247,205.6,11031,0.182,15.75,233.0
WELL_0248,145.9,9126,0.701,16.25,391.0
WELL_0249,163.8,8742,1.078,15.55,433.4
WELL_0250,162.8,9259,1.481,16.14,563.4
WELL_0251,184.3,11519,0.742,16.78,314.0
WELL_0252,231.3,13675,0.23,15.48,193.3
WELL_0253,222.9,9539,0.887,16.09,305.6
WELL_0254,171.4,7478,0.277,16.76,236.4
WELL_0255,194.0,7367,1.152,15.97,442.2
WELL_0256,244.4,12460,0.811,15.88,273.8
WELL_0257,260.2,13166,1.113,16.84,294.0
WELL_0258,137.5,6053,1.317,16.03,542.6
WELL_0259,158.1,5666,0.981,16.81,463.1
WELL_0260,230.4,10944,0.957,16.44,359.0
WELL_0261,148.6,6462,1.156,16.01,479.3
WELL_0262,257.3,13247,1.279,16.46,384.2
WELL_0263,190.5,8103,1.317,16.38,488.5
WELL_0264,148.8,6439,0.151,16.76,308.0
WELL_0265,239.5,14210,0.879,15.9,298.1
WELL_0266,140.2,6655,0.403,16.22,344.8
WELL_0267,178.6,7847,1.304,16.17,489.9
WELL_0268,165.9,6536,1.008,16.59,433.7
WELL_0269,140.7,6155,0.688,15.64,400.6
WELL_0270,143.2,5211,0.363,16.76,327.8
WELL_0271,157.5,5554,0.575,16.46,376.3
WELL_0272,173.8,6746,1.085,15.48,472.1
WELL_0273,174.9,5534,0.386,16.86,299.3
WELL_0274,239.8,10911,0.231,17.43,185.1
WELL_0275,210.5,11807,1.343,16.75,437.3
WELL_0276,221.5,8936,1.17,16.98,422.5
WELL_0277,171.8,8180,0.38,16.25,305.3
WELL_0278,224.4,10045,0.509,15.29,322.2
WELL_0279,255.0,13750,1.461,15.19,435.9
WELL_0280,243.2,13511,1.091,16.34,335.8
WELL_0281,113.1,5435,0.955,15.87,490.0
WELL_0282,160.5,6815,0.531,15.7,355.5
WELL_0283,142.7,7367,0.519,16.17,393.9
WELL_0284,189.8,7494,0.155,16.54,221.1
WELL_0285,241.6,10712,1.12,15.4,396.9
WELL_0286,179.8,9163,0.16,15.95,272.9
WELL_0287,151.8,5493,0.107,17.03,288.9
WELL_0288,175.5,8736,1.121,15.61,431.7
WELL_0289,196.8,10238,1.428,16.68,510.6
WELL_0290,167.2,6017,1.159,15.93,491.2
WELL_0291,247.7,13335,0.76,16.5,271.3
WELL_0292,178.1,5520,0.78,16.8,365.4
WELL_0293,251.5,14248,0.711,16.61,244.4
WELL_0294,170.9,5991,0.555,16.7,325.1
WELL_0295,251.4,13436,0.83,15.57,298.9
WELL_0296,271.7,14027,0.704,16.81,213.6
WELL_0297,259.3,14796,0.937,15.73,283.0
WELL_0298,243.4,13020,1.357,16.34,402.4
WELL_0299,239.3,12795,1.493,16.34,451.1
WELL_0300,208.5,11425,0.21,16.47,210.2
WELL_0301,253.2,12790,0.639,16.39,229.7
WELL_0302,169.2,6346,0.353,15.74,311.9
WELL_0303,220.4,10361,0.593,15.46,290.4
WELL_0304,234.5,10142,0.502,16.68,215.7
WELL_0305,277.6,13576,0.344,16.3,163.0
WELL_0306,193.4,9628,1.17,16.83,416.0
WELL_0307,196.8,8851,0.795,16.18,336.1
WELL_0308,211.9,11396,1.387,15.43,485.9
WELL_0309,175.1,7665,0.146,16.73,215.1
WELL_0310,147.4,6398,0.194,16.0,293.9
WELL_0311,231.3,9779,0.665,16.39,288.1
WELL_0312,200.7,9169,0.212,15.84,202.3
WELL_0313,166.3,7326,0.468,17.1,326.3
WELL_0314,209.3,8675,1.48,15.72,536.1
WELL_0315,148.6,8664,0.393,16.01,322.7
WELL_0316,146.3,8275,0.377,16.26,332.3
WELL_0317,203.7,8795,0.903,15.6,389.7
WELL_0318,230.2,11857,0.797,16.38,286.4
WELL_0319,183.1,7969,0.913,17.09,388.0
WELL_0320,239.5,14489,0.627,15.93,234.0
WELL_0321,258.7,14163,1.257,16.42,366.0
WELL_0322,238.6,9809,0.294,15.0,195.1
WELL_0323,197.5,8284,0.7,16.18,330.9
WELL_0324,212.7,10354,1.066,16.03,407.7
WELL_0325,242.4,13486,1.316,15.75,415.2
WELL_0326,217.7,11526,0.617,16.79,241.8
WELL_0327,206.2,13044,0.895,16.02,325.9
WELL_0328,213.9,10327,0.197,16.1,212.9
WELL_0329,237.5,11329,0.338,15.99,231.9
WELL_0330,149.1,7882,0.197,15.15,322.5
WELL_0331,223.6,12349,1.119,15.58,383.5
WELL_0332,145.5,7024,0.503,16.73,358.6
WELL_0333,212.9,11948,1.113,15.04,405.1
WELL_0334,252.9,13607,0.193,15.78,141.4
WELL_0335,119.7,6321,1.308,15.98,529.7
WELL_0336,230.9,11144,1.27,17.16,426.5
WELL_0337,165.9,5951,0.225,16.62,233.4
WELL_0338,229.8,12257,0.133,15.89,185.6
WELL_0339,106.3,5845,0.179,16.92,339.9
WELL_0340,243.7,14359,1.295,15.79,401.0
WELL_0341,180.1,6374,0.429,16.76,321.1
WELL_0342,214.7,14589,0.868,15.45,321.8
WELL_0343,237.9,13009,0.697,16.79,241.5
WELL_0344,195.9,10937,1.214,15.98,436.8
WELL_0345,256.2,12826,0.784,15.63,279.4
WELL_0346,231.2,12951,0.801,16.08,288.2
WELL_0347,270.3,14460,1.485,16.35,402.3
WELL_0348,183.1,7534,0.31,15.93,260.8
WELL_0349,249.8,10901,1.263,16.5,415.9
WELL_0350,148.7,5950,0.172,15.88,307.9
WELL_0351,226.9,11162,0.769,16.54,299.8
WELL_0352,135.5,6713,1.341,16.44,527.0
WELL_0353,234.9,10650,1.031,16.17,340.8
WELL_0354,200.7,10724,1.059,15.96,427.7
WELL_0355,190.5,9660,0.469,16.28,279.1
WELL_0356,207.5,10226,0.686,16.5,291.4
WELL_0357,211.2,12639,0.613,17.33,279.3
WELL_0358,248.0,12992,0.83,16.72,261.0
WELL_0359,221.4,9922,0.747,16.74,283.0
WELL_0360,223.2,10996,0.558,17.5,236.4
WELL_0361,232.5,14312,0.528,16.48,225.3
WELL_0362,153.3,6197,0.451,16.47,337.7
WELL_0363,168.6,6171,0.611,16.59,378.6
WELL_0364,117.6,5877,0.31,15.65,377.0
WELL_0365,206.2,11579,1.321,15.96,412.8
WELL_0366,210.2,9186,0.943,15.92,371.3
WELL_0367,245.5,12743,0.287,16.56,166.1
WELL_0368,234.7,11712,1.071,16.1,361.6
WELL_0369,216.8,8336,1.287,16.28,445.7
WELL_0370,265.2,13984,0.433,16.8,160.7
WELL_0371,251.0,12625,0.311,16.67,160.3
WELL_0372,224.0,7705,0.112,16.11,197.0
WELL_0373,183.5,8642,0.166,15.83,241.5
WELL_0374,166.5,8144,1.167,16.82,433.9
WELL_0375,168.2,6576,1.482,16.63,590.6
WELL_0376,167.1,6478,0.163,15.32,274.8
WELL_0377,252.2,14361,1.147,16.03,358.2
WELL_0378,178.3,9379,0.201,16.29,227.0
WELL_0379,231.4,8833,0.929,16.63,331.5
WELL_0380,240.7,12297,1.159,16.7,349.2
WELL_0381,198.7,10530,0.603,16.36,286.3
WELL_0382,278.2,14361,0.115,16.52,104.3
WELL_0383,239.5,12803,0.933,16.24,324.7
WELL_0384,197.8,9794,1.488,15.83,525.8
WELL_0385,199.0,8764,0.461,16.06,244.9
WELL_0386,245.0,14866,0.365,16.21,213.2
WELL_0387,239.7,12178,0.273,16.18,156.8
WELL_0388,298.1,14512,0.877,15.16,278.9
WELL_0389,163.8,6185,0.935,15.98,439.2
WELL_0390,243.8,13505,1.209,16.23,390.8
WELL_0391,213.7,11371,1.154,16.05,389.2
WELL_0392,148.5,6219,1.35,16.06,532.4
WELL_0393,211.9,10883,1.228,16.47,411.4
WELL_0394,222.4,11861,0.446,15.61,243.4
WELL_0395,158.1,5123,0.878,15.3,424.5
WELL_0396,167.9,9543,0.516,16.01,287.0
WELL_0397,262.8,13254,0.562,16.62,216.9
WELL_0398,171.6,7954,1.405,17.13,499.3
WELL_0399,206.4,9585,1.055,16.63,374.5
WELL_0400,177.2,9423,1.464,15.39,524.8
WELL_0401,203.2,8019,0.684,16.07,323.9
WELL_0402,281.8,14184,0.852,16.34,228.7
WELL_0403,258.8,12813,0.782,16.3,217.3
WELL_0404,127.1,6106,0.25,16.5,343.2
WELL_0405,284.5,14970,0.431,15.7,160.9
WELL_0406,261.6,13792,0.839,16.24,262.9
WELL_0407,148.0,7839,0.194,16.43,275.4
WELL_0408,248.4,13369,1.404,16.65,425.8
WELL_0409,160.4,6064,0.273,15.76,281.0
WELL_0410,279.9,14991,0.377,16.01,122.3
WELL_0411,229.7,11657,1.171,15.0,395.7
WELL_0412,229.8,11501,0.236,15.86,206.9
WELL_0413,178.3,5904,1.36,15.91,502.4
WELL_0414,278.7,13970,1.116,15.64,321.1
WELL_0415,100.0,5290,0.196,16.29,405.8
WELL_0416,165.6,7408,1.069,16.17,448.1
WELL_0417,155.6,6430,0.984,15.0,461.1
WELL_0418,209.4,12768,1.16,16.32,395.0
WELL_0419,167.5,6982,1.259,15.69,483.1
WELL_0420,280.9,14106,1.106,16.47,271.2
WELL_0421,205.8,11563,0.921,15.49,382.1
WELL_0422,150.8,5362,0.551,16.22,367.9
WELL_0423,124.2,5054,1.076,16.04,491.0
WELL_0424,134.6,5517,1.44,16.37,559.0
WELL_0425,245.4,11059,0.923,16.27,325.3
WELL_0426,234.4,13015,1.03,16.06,319.5
WELL_0427,179.3,7386,0.712,15.36,353.4
WELL_0428,216.7,13494,1.159,15.39,386.4
WELL_0429,181.0,5572,1.497,15.88,576.1
WELL_0430,255.0,13010,0.325,16.2,181.0
WELL_0431,257.3,14278,0.383,15.87,135.6
WELL_0432,250.7,12721,0.855,16.54,253.3
WELL_0433,205.4,11981,0.774,16.05,320.1
WELL_0434,270.2,13380,0.9,15.67,274.0
WELL_0435,139.4,5402,0.169,16.05,293.7
WELL_0436,162.6,7018,0.666,16.32,395.0
WELL_0437,147.4,6249,0.916,16.38,433.4
WELL_0438,195.1,10045,0.919,17.23,361.0
WELL_0439,249.4,12452,1.02,15.83,322.5
WELL_0440,226.5,11300,1.108,16.16,391.7
WELL_0441,262.4,13511,0.998,16.43,296.3
WELL_0442,160.0,6552,1.206,16.19,476.3
WELL_0443,244.7,12346,0.975,15.92,338.2
WELL_0444,157.6,6930,0.853,15.35,388.9
WELL_0445,215.3,7708,0.949,15.92,394.5
WELL_0446,204.1,12099,0.242,15.61,232.3
WELL_0447,290.1,14802,0.482,15.25,186.4
WELL_0448,244.1,11115,0.838,15.76,281.8
WELL_0449,131.7,5545,1.322,15.62,530.7
WELL_0450,260.2,11163,1.051,16.52,303.6
WELL_0451,163.4,5424,0.227,16.53,290.3
WELL_0452,272.4,13841,0.929,15.7,286.8
WELL_0453,232.7,12096,0.41,16.06,206.8
WELL_0454,158.6,6731,1.128,15.18,461.8
WELL_0455,148.2,5917,1.258,15.93,488.3
WELL_0456,170.9,6835,0.931,16.42,402.6
WELL_0457,292.6,14800,0.928,16.65,237.3
WELL_0458,202.9,9586,0.574,15.81,282.9
WELL_0459,225.5,12841,0.725,16.78,302.5
WELL_0460,237.6,11364,1.31,15.37,432.4
WELL_0461,231.0,10724,1.113,15.51,410.2
WELL_0462,170.7,6451,0.828,16.59,370.7
WELL_0463,276.4,14460,0.616,17.12,185.3
WELL_0464,174.3,8013,0.171,16.47,255.0
WELL_0465,198.4,10780,0.3,16.18,210.6
WELL_0466,215.3,11998,0.37,15.0,272.6
WELL_0467,195.0,11492,0.623,15.09,317.6
WELL_0468,266.5,14406,1.422,16.27,429.8
WELL_0469,157.8,6484,0.807,16.0,386.1
WELL_0470,198.2,10084,0.429,15.59,272.5
WELL_0471,139.3,9040,0.248,16.24,299.2
WELL_0472,179.2,9742,0.574,16.26,338.0
WELL_0473,175.7,6192,1.242,16.72,473.3
WELL_0474,145.5,6341,0.637,16.28,384.0
WELL_0475,182.6,7781,1.182,16.88,463.4
WELL_0476,154.6,8047,1.224,16.2,506.8
WELL_0477,221.5,9279,0.255,16.14,222.0
WELL_0478,216.8,11110,0.952,16.79,315.4
WELL_0479,227.7,11346,1.443,15.66,462.7
WELL_0480,235.4,9118,0.663,17.5,231.4
WELL_0481,220.4,9088,0.171,16.41,204.7
WELL_0482,162.8,7176,1.393,16.41,522.3
WELL_0483,205.8,10883,1.337,16.49,428.8
WELL_0484,175.4,8170,0.831,17.23,357.0
WELL_0485,153.9,5361,0.873,16.64,383.6
WELL_0486,192.5,9184,0.396,15.32,283.0
WELL_0487,194.5,9741,1.247,16.97,406.8
WELL_0488,195.7,7256,0.798,16.01,362.6
WELL_0489,212.4,10725,0.147,16.26,202.9
WELL_0490,254.9,10658,1.056,15.5,383.6
WELL_0491,232.9,12020,1.431,16.49,467.3
WELL_0492,256.4,11479,1.261,15.84,387.3
WELL_0493,231.2,11524,0.488,16.26,245.5
WELL_0494,198.4,8162,0.175,16.04,205.3
WELL_0495,229.3,12874,1.416,17.26,419.0
WELL_0496,196.0,10491,1.412,17.29,476.9
WELL_0497,204.4,9314,0.845,16.23,305.5
WELL_0498,239.2,11260,0.999,16.24,336.7
WELL_0499,187.6,8607,0.748,15.99,329.5
WELL_0500,183.5,10127,0.688,16.81,324.7
WELL_0501,211.3,12367,0.267,16.02,197.0
WELL_0502,229.5,13864,0.235,15.97,190.7
WELL_0503,227.9,14211,0.426,16.74,207.3
WELL_0504,207.4,10036,1.271,15.9,472.1
WELL_0505,227.9,10203,0.304,16.18,205.3
WELL_0506,243.7,12999,0.417,15.33,197.7
WELL_0507,140.2,8145,0.868,16.59,412.3
WELL_0508,245.4,13374,0.401,17.27,149.9
WELL_0509,201.3,9941,0.328,16.6,245.4
WELL_0510,192.8,6159,0.889,17.0,374.1
WELL_0511,123.1,5721,0.615,15.73,454.9
WELL_0512,242.4,13420,0.977,16.33,309.2
WELL_0513,177.9,5556,1.377,15.68,513.5
WELL_0514,184.6,7806,0.311,16.07,261.2
WELL_0515,193.6,8341,1.379,16.62,485.2
WELL_0516,164.6,6730,1.363,16.26,520.9
WELL_0517,186.7,8139,1.261,15.42,475.9
WELL_0518,250.5,12427,0.984,15.48,349.9
WELL_0519,127.3,5147,0.968,15.44,466.9
WELL_0520,263.3,13272,0.995,16.47,319.2
WELL_0521,226.6,13565,1.067,17.34,352.2
WELL_0522,194.3,8723,0.123,16.95,211.7
WELL_0523,163.2,6536,1.441,15.16,547.7
WELL_0524,207.0,11008,0.92,16.98,384.7
WELL_0525,155.1,6197,1.194,16.72,461.1
WELL_0526,176.2,8649,0.628,15.35,352.8
WELL_0527,245.3,14584,0.117,16.03,124.6
WELL_0528,263.0,14955,0.814,16.8,278.4
WELL_0529,220.5,12721,0.81,16.5,320.0
WELL_0530,186.2,8110,0.712,15.48,339.6
WELL_0531,208.7,11877,0.576,16.54,279.3
WELL_0532,244.5,12054,0.45,15.02,229.4
WELL_0533,169.2,8878,0.839,16.08,375.8
WELL_0534,213.1,11409,0.625,16.83,285.2
