BHCT_F,Depth_ft,Retarder_pct_BWOC,Slurry_Density_ppg,Predicted_Thickening_Time_min
185.0,10000,0.2,16.2,249.11
190.0,10000,0.2,16.2,240.07
195.0,10000,0.2,16.2,225.62
200.0,10000,0.2,16.2,220.85
205.0,10000,0.2,16.2,223.74
210.0,10000,0.2,16.2,204.13
215.0,10000,0.2,16.2,204.03
220.0,10000,0.2,16.2,202.04
225.0,10000,0.2,16.2,199.62
230.0,10000,0.2,16.2,180.19
235.0,10000,0.2,16.2,168.81
240.0,10000,0.2,16.2,171.93
245.0,10000,0.2,16.2,169.11
250.0,10000,0.2,16.2,156.12
255.0,10000,0.2,16.2,151.16
260.0,10000,0.2,16.2,147.94
265.0,10000,0.2,16.2,147.29
270.0,10000,0.2,16.2,146.46
275.0,10000,0.2,16.2,148.03
280.0,10000,0.2,16.2,146.49
285.0,10000,0.2,16.2,146.39
290.0,10000,0.2,16.2,146.39
295.0,10000,0.2,16.2,146.39
300.0,10000,0.2,16.2,146.39
100.0,10000,0.25,16.2,341.84
105.0,10000,0.25,16.2,341.84
110.0,10000,0.25,16.2,339.95
115.0,10000,0.25,16.2,339.39
120.0,10000,0.25,16.2,338.81
125.0,10000,0.25,16.2,333.36
130.0,10000,0.25,16.2,328.12
135.0,10000,0.25,16.2,319.17
140.0,10000,0.25,16.2,307.59
145.0,10000,0.25,16.2,306.83
150.0,10000,0.25,16.2,303.99
155.0,10000,0.25,16.2,291.53
160.0,10000,0.25,16.2,280.32
165.0,10000,0.25,16.2,271.65
170.0,10000,0.25,16.2,266.24
175.0,10000,0.25,16.2,264.82
180.0,10000,0.25,16.2,264.57
185.0,10000,0.25,16.2,252.44
190.0,10000,0.25,16.2,245.33
195.0,10000,0.25,16.2,230.98
200.0,10000,0.25,16.2,225.61
205.0,10000,0.25,16.2,228.19
210.0,10000,0.25,16.2,207.07
215.0,10000,0.25,16.2,207.01
220.0,10000,0.25,16.2,205.54
225.0,10000,0.25,16.2,204.37
230.0,10000,0.25,16.2,189.62
235.0,10000,0.25,16.2,181.19
240.0,10000,0.25,16.2,182.71
245.0,10000,0.25,16.2,179.68
250.0,10000,0.25,16.2,162.51
255.0,10000,0.25,16.2,156.46
260.0,10000,0.25,16.2,153.89
265.0,10000,0.25,16.2,152.8
270.0,10000,0.25,16.2,151.79
275.0,10000,0.25,16.2,153.58
280.0,10000,0.25,16.2,151.75
285.0,10000,0.25,16.2,151.65
290.0,10000,0.25,16.2,151.65
295.0,10000,0.25,16.2,151.65
300.0,10000,0.25,16.2,151.65
100.0,10000,0.3,16.2,343.26
105.0,10000,0.3,16.2,343.26
110.0,10000,0.3,16.2,341.49
115.0,10000,0.3,16.2,340.95
120.0,10000,0.3,16.2,340.38
125.0,10000,0.3,16.2,334.93
130.0,10000,0.3,16.2,329.99
135.0,10000,0.3,16.2,321.0
140.0,10000,0.3,16.2,309.81
145.0,10000,0.3,16.2,308.98
150.0,10000,0.3,16.2,305.09
155.0,10000,0.3,16.2,292.69
160.0,10000,0.3,16.2,280.71
165.0,10000,0.3,16.2,272.99
170.0,10000,0.3,16.2,267.94
175.0,10000,0.3,16.2,266.3
180.0,10000,0.3,16.2,265.38
185.0,10000,0.3,16.2,253.21
190.0,10000,0.3,16.2,248.83
195.0,10000,0.3,16.2,235.22
200.0,10000,0.3,16.2,229.43
205.0,10000,0.3,16.2,231.79
210.0,10000,0.3,16.2,210.86
215.0,10000,0.3,16.2,210.31
220.0,10000,0.3,16.2,207.51
225.0,10000,0.3,16.2,206.91
230.0,10000,0.3,16.2,194.2
235.0,10000,0.3,16.2,183.5
240.0,10000,0.3,16.2,183.89
245.0,10000,0.3,16.2,181.08
250.0,10000,0.3,16.2,164.05
255.0,10000,0.3,16.2,157.49
260.0,10000,0.3,16.2,155.22
265.0,10000,0.3,16.2,154.44
270.0,10000,0.3,16.2,153.92
275.0,10000,0.3,16.2,156.13
280.0,10000,0.3,16.2,153.92
285.0,10000,0.3,16.2,153.81
290.0,10000,0.3,16.2,153.81
295.0,10000,0.3,16.2,153.81
300.0,10000,0.3,16.2,153.81
100.0,10000,0.35,16.2,352.0
105.0,10000,0.35,16.2,352.0
110.0,10000,0.35,16.2,350.92
115.0,10000,0.35,16.2,350.61
120.0,10000,0.35,16.2,350.55
125.0,10000,0.35,16.2,344.89
130.0,10000,0.35,16.2,343.06
135.0,10000,0.35,16.2,334.72
140.0,10000,0.35,16.2,329.25
145.0,10000,0.35,16.2,328.6
150.0,10000,0.35,16.2,325.18
155.0,10000,0.35,16.2,319.66
160.0,10000,0.35,16.2,308.09
165.0,10000,0.35,16.2,301.51
170.0,10000,0.35,16.2,291.72
175.0,10000,0.35,16.2,289.92
180.0,10000,0.35,16.2,282.21
185.0,10000,0.35,16.2,260.61
190.0,10000,0.35,16.2,258.98
195.0,10000,0.35,16.2,245.23
200.0,10000,0.35,16.2,241.16
205.0,10000,0.35,16.2,242.78
210.0,10000,0.35,16.2,233.85
215.0,10000,0.35,16.2,233.02
220.0,10000,0.35,16.2,225.23
225.0,10000,0.35,16.2,223.39
230.0,10000,0.35,16.2,213.35
235.0,10000,0.35,16.2,200.01
240.0,10000,0.35,16.2,199.23
245.0,10000,0.35,16.2,196.25
250.0,10000,0.35,16.2,174.65
255.0,10000,0.35,16.2,170.16
260.0,10000,0.35,16.2,165.73
265.0,10000,0.35,16.2,164.59
270.0,10000,0.35,16.2,164.46
275.0,10000,0.35,16.2,167.57
280.0,10000,0.35,16.2,164.68
285.0,10000,0.35,16.2,164.58
290.0,10000,0.35,16.2,164.58
295.0,10000,0.35,16.2,164.58
300.0,10000,0.35,16.2,164.58
100.0,10000,0.4,16.2,354.82
105.0,10000,0.4,16.2,354.82
110.0,10000,0.4,16.2,353.86
115.0,10000,0.4,16.2,353.56
120.0,10000,0.4,16.2,353.47
125.0,10000,0.4,16.2,348.01
130.0,10000,0.4,16.2,345.91
135.0,10000,0.4,16.2,336.16
140.0,10000,0.4,16.2,329.29
145.0,10000,0.4,16.2,328.46
150.0,10000,0.4,16.2,325.0
155.0,10000,0.4,16.2,320.09
160.0,10000,0.4,16.2,308.73
165.0,10000,0.4,16.2,302.65
170.0,10000,0.4,16.2,292.79
175.0,10000,0.4,16.2,291.31
180.0,10000,0.4,16.2,283.84
185.0,10000,0.4,16.2,266.3
190.0,10000,0.4,16.2,264.84
195.0,10000,0.4,16.2,252.92
200.0,10000,0.4,16.2,247.95
205.0,10000,0.4,16.2,248.83
210.0,10000,0.4,16.2,238.94
215.0,10000,0.4,16.2,237.28
220.0,10000,0.4,16.2,227.74
225.0,10000,0.4,16.2,224.79
230.0,10000,0.4,16.2,221.12
235.0,10000,0.4,16.2,212.42
240.0,10000,0.4,16.2,211.89
245.0,10000,0.4,16.2,208.28
250.0,10000,0.4,16.2,188.75
255.0,10000,0.4,16.2,183.1
260.0,10000,0.4,16.2,174.3
265.0,10000,0.4,16.2,167.89
270.0,10000,0.4,16.2,168.13
275.0,10000,0.4,16.2,169.92
280.0,10000,0.4,16.2,167.75
285.0,10000,0.4,16.2,167.65
290.0,10000,0.4,16.2,167.65
295.0,10000,0.4,16.2,167.65
300.0,10000,0.4,16.2,167.65
100.0,10000,0.45,16.2,361.05
105.0,10000,0.45,16.2,361.05
110.0,10000,0.45,16.2,360.39
115.0,10000,0.45,16.2,360.08
120.0,10000,0.45,16.2,360.0
125.0,10000,0.45,16.2,354.94
130.0,10000,0.45,16.2,353.91
135.0,10000,0.45,16.2,344.29
140.0,10000,0.45,16.2,337.95
145.0,10000,0.45,16.2,333.86
150.0,10000,0.45,16.2,329.57
155.0,10000,0.45,16.2,324.34
160.0,10000,0.45,16.2,314.84
165.0,10000,0.45,16.2,309.48
170.0,10000,0.45,16.2,297.92
175.0,10000,0.45,16.2,295.59
180.0,10000,0.45,16.2,287.91
185.0,10000,0.45,16.2,276.12
190.0,10000,0.45,16.2,273.46
195.0,10000,0.45,16.2,262.63
200.0,10000,0.45,16.2,255.93
205.0,10000,0.45,16.2,257.04
210.0,10000,0.45,16.2,251.7
215.0,10000,0.45,16.2,250.11
220.0,10000,0.45,16.2,242.75
225.0,10000,0.45,16.2,240.12
230.0,10000,0.45,16.2,238.41
235.0,10000,0.45,16.2,227.57
240.0,10000,0.45,16.2,227.37
245.0,10000,0.45,16.2,223.79
250.0,10000,0.45,16.2,209.25
255.0,10000,0.45,16.2,205.05
260.0,10000,0.45,16.2,196.54
265.0,10000,0.45,16.2,182.79
270.0,10000,0.45,16.2,182.98
275.0,10000,0.45,16.2,183.45
280.0,10000,0.45,16.2,183.04
285.0,10000,0.45,16.2,183.02
290.0,10000,0.45,16.2,183.02
295.0,10000,0.45,16.2,183.02
300.0,10000,0.45,16.2,183.02
100.0,10000,0.5,16.2,367.68
105.0,10000,0.5,16.2,367.68
110.0,10000,0.5,16.2,367.43
115.0,10000,0.5,16.2,367.32
120.0,10000,0.5,16.2,367.13
125.0,10000,0.5,16.2,364.13
130.0,10000,0.5,16.2,363.01
135.0,10000,0.5,16.2,360.16
140.0,10000,0.5,16.2,359.25
145.0,10000,0.5,16.2,344.34
150.0,10000,0.5,16.2,340.26
155.0,10000,0.5,16.2,337.74
160.0,10000,0.5,16.2,331.84
165.0,10000,0.5,16.2,328.13
170.0,10000,0.5,16.2,314.28
175.0,10000,0.5,16.2,309.03
180.0,10000,0.5,16.2,300.23
185.0,10000,0.5,16.2,290.68
190.0,10000,0.5,16.2,288.72
195.0,10000,0.5,16.2,281.96
200.0,10000,0.5,16.2,273.37
205.0,10000,0.5,16.2,269.86
210.0,10000,0.5,16.2,255.54
215.0,10000,0.5,16.2,252.72
220.0,10000,0.5,16.2,242.38
225.0,10000,0.5,16.2,239.44
230.0,10000,0.5,16.2,239.32
235.0,10000,0.5,16.2,229.11
240.0,10000,0.5,16.2,229.05
245.0,10000,0.5,16.2,225.85
250.0,10000,0.5,16.2,214.29
255.0,10000,0.5,16.2,209.72
260.0,10000,0.5,16.2,199.33
265.0,10000,0.5,16.2,184.8
270.0,10000,0.5,16.2,184.87
275.0,10000,0.5,16.2,185.53
280.0,10000,0.5,16.2,185.16
285.0,10000,0.5,16.2,185.15
290.0,10000,0.5,16.2,185.15
295.0,10000,0.5,16.2,185.15
300.0,10000,0.5,16.2,185.15
100.0,10000,0.55,16.2,382.06
105.0,10000,0.55,16.2,382.06
110.0,10000,0.55,16.2,382.06
115.0,10000,0.55,16.2,382.06
120.0,10000,0.55,16.2,381.73
125.0,10000,0.55,16.2,379.96
130.0,10000,0.55,16.2,377.92
135.0,10000,0.55,16.2,374.56
140.0,10000,0.55,16.2,373.99
145.0,10000,0.55,16.2,352.4
150.0,10000,0.55,16.2,346.84
155.0,10000,0.55,16.2,343.68
160.0,10000,0.55,16.2,338.78
165.0,10000,0.55,16.2,336.57
170.0,10000,0.55,16.2,327.49
175.0,10000,0.55,16.2,318.6
180.0,10000,0.55,16.2,307.04
185.0,10000,0.55,16.2,292.74
190.0,10000,0.55,16.2,290.69
195.0,10000,0.55,16.2,284.57
200.0,10000,0.55,16.2,275.88
205.0,10000,0.55,16.2,272.18
210.0,10000,0.55,16.2,258.69
215.0,10000,0.55,16.2,256.16
220.0,10000,0.55,16.2,246.36
225.0,10000,0.55,16.2,243.63
230.0,10000,0.55,16.2,240.48
235.0,10000,0.55,16.2,231.17
240.0,10000,0.55,16.2,230.82
245.0,10000,0.55,16.2,227.87
250.0,10000,0.55,16.2,220.27
255.0,10000,0.55,16.2,215.52
260.0,10000,0.55,16.2,203.87
265.0,10000,0.55,16.2,187.01
270.0,10000,0.55,16.2,186.63
275.0,10000,0.55,16.2,187.31
280.0,10000,0.55,16.2,186.94
285.0,10000,0.55,16.2,186.93
290.0,10000,0.55,16.2,186.93
295.0,10000,0.55,16.2,186.93
300.0,10000,0.55,16.2,186.93
100.0,10000,0.6,16.2,399.11
105.0,10000,0.6,16.2,399.11
110.0,10000,0.6,16.2,399.11
115.0,10000,0.6,16.2,399.11
120.0,10000,0.6,16.2,398.65
125.0,10000,0.6,16.2,397.55
130.0,10000,0.6,16.2,393.53
135.0,10000,0.6,16.2,390.72
140.0,10000,0.6,16.2,389.28
145.0,10000,0.6,16.2,359.66
150.0,10000,0.6,16.2,353.97
155.0,10000,0.6,16.2,350.62
160.0,10000,0.6,16.2,346.67
165.0,10000,0.6,16.2,346.68
170.0,10000,0.6,16.2,342.89
175.0,10000,0.6,16.2,332.27
180.0,10000,0.6,16.2,318.36
185.0,10000,0.6,16.2,304.62
190.0,10000,0.6,16.2,303.5
195.0,10000,0.6,16.2,302.65
200.0,10000,0.6,16.2,295.66
205.0,10000,0.6,16.2,289.62
210.0,10000,0.6,16.2,282.79
215.0,10000,0.6,16.2,280.11
220.0,10000,0.6,16.2,276.4
225.0,10000,0.6,16.2,274.99
230.0,10000,0.6,16.2,273.95
235.0,10000,0.6,16.2,258.83
240.0,10000,0.6,16.2,249.0
245.0,10000,0.6,16.2,244.17
250.0,10000,0.6,16.2,236.98
255.0,10000,0.6,16.2,233.16
260.0,10000,0.6,16.2,229.91
265.0,10000,0.6,16.2,227.15
270.0,10000,0.6,16.2,224.37
275.0,10000,0.6,16.2,224.04
280.0,10000,0.6,16.2,223.89
285.0,10000,0.6,16.2,223.89
290.0,10000,0.6,16.2,223.89
295.0,10000,0.6,16.2,223.89
300.0,10000,0.6,16.2,223.89
100.0,10000,0.65,16.2,409.82
105.0,10000,0.65,16.2,409.82
110.0,10000,0.65,16.2,409.82
115.0,10000,0.65,16.2,409.82
120.0,10000,0.65,16.2,409.36
125.0,10000,0.65,16.2,408.14
130.0,10000,0.65,16.2,404.11
135.0,10000,0.65,16.2,401.06
140.0,10000,0.65,16.2,398.92
145.0,10000,0.65,16.2,366.86
150.0,10000,0.65,16.2,360.53
155.0,10000,0.65,16.2,357.32
160.0,10000,0.65,16.2,354.08
165.0,10000,0.65,16.2,353.24
170.0,10000,0.65,16.2,349.25
175.0,10000,0.65,16.2,338.83
180.0,10000,0.65,16.2,322.6
185.0,10000,0.65,16.2,309.26
190.0,10000,0.65,16.2,308.92
195.0,10000,0.65,16.2,308.47
200.0,10000,0.65,16.2,304.51
205.0,10000,0.65,16.2,301.01
210.0,10000,0.65,16.2,293.85
215.0,10000,0.65,16.2,290.16
220.0,10000,0.65,16.2,286.35
225.0,10000,0.65,16.2,287.0
230.0,10000,0.65,16.2,286.91
235.0,10000,0.65,16.2,265.56
240.0,10000,0.65,16.2,252.98
245.0,10000,0.65,16.2,248.0
250.0,10000,0.65,16.2,241.42
255.0,10000,0.65,16.2,237.71
260.0,10000,0.65,16.2,237.02
265.0,10000,0.65,16.2,236.2
270.0,10000,0.65,16.2,233.52
275.0,10000,0.65,16.2,232.95
280.0,10000,0.65,16.2,232.95
285.0,10000,0.65,16.2,232.95
290.0,10000,0.65,16.2,232.95
295.0,10000,0.65,16.2,232.95
300.0,10000,0.65,16.2,232.95
100.0,10000,0.7,16.2,411.69
105.0,10000,0.7,16.2,411.69
110.0,10000,0.7,16.2,411.69
115.0,10000,0.7,16.2,411.69
120.0,10000,0.7,16.2,411.24
125.0,10000,0.7,16.2,410.1
130.0,10000,0.7,16.2,405.95
135.0,10000,0.7,16.2,403.41
140.0,10000,0.7,16.2,401.14
145.0,10000,0.7,16.2,371.05
150.0,10000,0.7,16.2,364.89
155.0,10000,0.7,16.2,361.65
160.0,10000,0.7,16.2,357.56
165.0,10000,0.7,16.2,355.19
170.0,10000,0.7,16.2,351.65
175.0,10000,0.7,16.2,343.7
180.0,10000,0.7,16.2,329.94
185.0,10000,0.7,16.2,320.11
190.0,10000,0.7,16.2,320.14
195.0,10000,0.7,16.2,319.75
200.0,10000,0.7,16.2,315.47
205.0,10000,0.7,16.2,312.25
210.0,10000,0.7,16.2,303.22
215.0,10000,0.7,16.2,298.06
220.0,10000,0.7,16.2,294.51
225.0,10000,0.7,16.2,296.49
230.0,10000,0.7,16.2,296.84
235.0,10000,0.7,16.2,271.48
240.0,10000,0.7,16.2,257.91
245.0,10000,0.7,16.2,253.41
250.0,10000,0.7,16.2,246.82
255.0,10000,0.7,16.2,242.39
260.0,10000,0.7,16.2,241.25
265.0,10000,0.7,16.2,240.44
270.0,10000,0.7,16.2,237.43
275.0,10000,0.7,16.2,236.86
280.0,10000,0.7,16.2,236.86
285.0,10000,0.7,16.2,236.86
290.0,10000,0.7,16.2,236.86
295.0,10000,0.7,16.2,236.86
300.0,10000,0.7,16.2,236.86
100.0,10000,0.75,16.2,416.14
105.0,10000,0.75,16.2,416.14
110.0,10000,0.75,16.2,416.14
115.0,10000,0.75,16.2,416.14
120.0,10000,0.75,16.2,415.71
125.0,10000,0.75,16.2,414.74
130.0,10000,0.75,16.2,411.5
135.0,10000,0.75,16.2,409.36
140.0,10000,0.75,16.2,407.07
145.0,10000,0.75,16.2,382.62
150.0,10000,0.75,16.2,377.8
155.0,10000,0.75,16.2,374.98
160.0,10000,0.75,16.2,370.02
165.0,10000,0.75,16.2,364.81
170.0,10000,0.75,16.2,361.04
175.0,10000,0.75,16.2,354.27
180.0,10000,0.75,16.2,343.53
185.0,10000,0.75,16.2,330.65
190.0,10000,0.75,16.2,330.28
195.0,10000,0.75,16.2,330.15
200.0,10000,0.75,16.2,324.58
205.0,10000,0.75,16.2,320.82
210.0,10000,0.75,16.2,307.85
215.0,10000,0.75,16.2,302.06
220.0,10000,0.75,16.2,299.46
225.0,10000,0.75,16.2,302.95
230.0,10000,0.75,16.2,304.11
235.0,10000,0.75,16.2,283.86
240.0,10000,0.75,16.2,276.82
245.0,10000,0.75,16.2,273.24
250.0,10000,0.75,16.2,268.28
255.0,10000,0.75,16.2,264.8
260.0,10000,0.75,16.2,256.41
265.0,10000,0.75,16.2,256.09
270.0,10000,0.75,16.2,255.0
275.0,10000,0.75,16.2,254.57
280.0,10000,0.75,16.2,254.14
285.0,10000,0.75,16.2,253.85
290.0,10000,0.75,16.2,253.85
295.0,10000,0.75,16.2,253.85
300.0,10000,0.75,16.2,253.85
100.0,10000,0.8,16.2,416.76
105.0,10000,0.8,16.2,416.76
110.0,10000,0.8,16.2,416.76
115.0,10000,0.8,16.2,416.76
120.0,10000,0.8,16.2,416.0
125.0,10000,0.8,16.2,415.29
130.0,10000,0.8,16.2,412.01
135.0,10000,0.8,16.2,410.47
140.0,10000,0.8,16.2,408.87
145.0,10000,0.8,16.2,393.99
150.0,10000,0.8,16.2,390.4
155.0,10000,0.8,16.2,385.33
160.0,10000,0.8,16.2,378.71
165.0,10000,0.8,16.2,372.36
170.0,10000,0.8,16.2,368.04
175.0,10000,0.8,16.2,362.6
180.0,10000,0.8,16.2,353.79
185.0,10000,0.8,16.2,343.13
190.0,10000,0.8,16.2,342.09
195.0,10000,0.8,16.2,341.67
200.0,10000,0.8,16.2,334.96
205.0,10000,0.8,16.2,329.48
210.0,10000,0.8,16.2,317.88
215.0,10000,0.8,16.2,310.29
220.0,10000,0.8,16.2,306.67
225.0,10000,0.8,16.2,309.66
230.0,10000,0.8,16.2,310.15
235.0,10000,0.8,16.2,291.6
240.0,10000,0.8,16.2,287.0
245.0,10000,0.8,16.2,283.02
250.0,10000,0.8,16.2,277.18
255.0,10000,0.8,16.2,274.36
260.0,10000,0.8,16.2,265.58
265.0,10000,0.8,16.2,264.72
270.0,10000,0.8,16.2,264.59
275.0,10000,0.8,16.2,264.04
280.0,10000,0.8,16.2,263.19
285.0,10000,0.8,16.2,262.67
290.0,10000,0.8,16.2,262.67
295.0,10000,0.8,16.2,262.67
300.0,10000,0.8,16.2,262.67
100.0,10000,0.85,16.2,427.37
105.0,10000,0.85,16.2,427.37
110.0,10000,0.85,16.2,427.37
115.0,10000,0.85,16.2,427.37
120.0,10000,0.85,16.2,426.62
125.0,10000,0.85,16.2,426.77
130.0,10000,0.85,16.2,424.62
135.0,10000,0.85,16.2,420.2
140.0,10000,0.85,16.2,416.1
145.0,10000,0.85,16.2,398.35
150.0,10000,0.85,16.2,394.17
155.0,10000,0.85,16.2,390.11
160.0,10000,0.85,16.2,383.56
165.0,10000,0.85,16.2,378.7
170.0,10000,0.85,16.2,374.09
175.0,10000,0.85,16.2,369.96
180.0,10000,0.85,16.2,360.27
185.0,10000,0.85,16.2,349.24
190.0,10000,0.85,16.2,347.61
195.0,10000,0.85,16.2,346.81
200.0,10000,0.85,16.2,340.81
205.0,10000,0.85,16.2,336.16
210.0,10000,0.85,16.2,334.93
215.0,10000,0.85,16.2,325.58
220.0,10000,0.85,16.2,322.02
225.0,10000,0.85,16.2,325.9
230.0,10000,0.85,16.2,325.93
235.0,10000,0.85,16.2,299.39
240.0,10000,0.85,16.2,294.19
245.0,10000,0.85,16.2,289.19
250.0,10000,0.85,16.2,281.91
255.0,10000,0.85,16.2,278.22
260.0,10000,0.85,16.2,267.74
265.0,10000,0.85,16.2,266.7
270.0,10000,0.85,16.2,266.44
275.0,10000,0.85,16.2,265.82
280.0,10000,0.85,16.2,264.95
285.0,10000,0.85,16.2,264.43
290.0,10000,0.85,16.2,264.43
295.0,10000,0.85,16.2,264.43
300.0,10000,0.85,16.2,264.43
100.0,10000,0.9,16.2,436.92
105.0,10000,0.9,16.2,436.92
110.0,10000,0.9,16.2,436.92
115.0,10000,0.9,16.2,436.92
120.0,10000,0.9,16.2,436.29
125.0,10000,0.9,16.2,436.52
130.0,10000,0.9,16.2,433.94
135.0,10000,0.9,16.2,429.37
140.0,10000,0.9,16.2,425.42
145.0,10000,0.9,16.2,406.91
150.0,10000,0.9,16.2,402.7
155.0,10000,0.9,16.2,400.41
160.0,10000,0.9,16.2,390.98
165.0,10000,0.9,16.2,385.42
170.0,10000,0.9,16.2,377.64
175.0,10000,0.9,16.2,372.33
180.0,10000,0.9,16.2,365.46
185.0,10000,0.9,16.2,359.22
190.0,10000,0.9,16.2,358.29
195.0,10000,0.9,16.2,357.61
200.0,10000,0.9,16.2,353.87
205.0,10000,0.9,16.2,350.61
210.0,10000,0.9,16.2,341.26
215.0,10000,0.9,16.2,325.93
220.0,10000,0.9,16.2,320.82
225.0,10000,0.9,16.2,323.54
230.0,10000,0.9,16.2,323.95
235.0,10000,0.9,16.2,311.11
240.0,10000,0.9,16.2,309.7
245.0,10000,0.9,16.2,308.66
250.0,10000,0.9,16.2,301.41
255.0,10000,0.9,16.2,296.43
260.0,10000,0.9,16.2,288.87
265.0,10000,0.9,16.2,289.52
270.0,10000,0.9,16.2,286.81
275.0,10000,0.9,16.2,285.0
280.0,10000,0.9,16.2,283.23
285.0,10000,0.9,16.2,282.68
290.0,10000,0.9,16.2,282.68
295.0,10000,0.9,16.2,282.68
300.0,10000,0.9,16.2,282.68
100.0,10000,0.95,16.2,415.5
105.0,10000,0.95,16.2,415.5
110.0,10000,0.95,16.2,415.5
115.0,10000,0.95,16.2,415.5
120.0,10000,0.95,16.2,415.27
125.0,10000,0.95,16.2,415.26
130.0,10000,0.95,16.2,412.59
135.0,10000,0.95,16.2,411.6
140.0,10000,0.95,16.2,410.77
145.0,10000,0.95,16.2,408.73
150.0,10000,0.95,16.2,407.64
155.0,10000,0.95,16.2,406.54
160.0,10000,0.95,16.2,406.33
165.0,10000,0.95,16.2,405.63
170.0,10000,0.95,16.2,395.89
175.0,10000,0.95,16.2,390.93
180.0,10000,0.95,16.2,389.12
185.0,10000,0.95,16.2,385.39
190.0,10000,0.95,16.2,382.81
195.0,10000,0.95,16.2,382.73
200.0,10000,0.95,16.2,380.02
205.0,10000,0.95,16.2,369.4
210.0,10000,0.95,16.2,361.06
215.0,10000,0.95,16.2,354.72
220.0,10000,0.95,16.2,343.35
225.0,10000,0.95,16.2,340.97
230.0,10000,0.95,16.2,337.99
235.0,10000,0.95,16.2,334.59
240.0,10000,0.95,16.2,333.64
245.0,10000,0.95,16.2,333.98
250.0,10000,0.95,16.2,334.47
255.0,10000,0.95,16.2,328.01
260.0,10000,0.95,16.2,305.79
265.0,10000,0.95,16.2,304.08
